id,text,points,category,active,repeatable,verificationMode,difficulty
dare_ibiza_093,Get a Stranger to Teach You a Handshake,8,social,true,false,media_required,easy
dare_ibiza_094,Get Someone to Do the Wave with You,12,social,true,false,media_required,easy
dare_ibiza_096,Get a Stranger to Wear Your Sunglasses,6,social,true,false,media_required,easy
dare_ibiza_097,Find Someone with the Same Favorite Drink as You,8,social,true,false,media_required,medium
dare_ibiza_098,Get Someone to Sing Their National Anthem,15,social,true,false,media_required,hard
dare_ibiza_099,Get a Stranger to Teach You a Slang Word from Their Country,8,social,true,false,media_required,easy
dare_ibiza_100,Find Out Someone's Favorite Ibiza Spot,6,social,true,false,media_required,easy
dare_ibiza_101,Convince Someone to Give You a Nickname,10,social,true,false,media_required,medium
dare_ibiza_102,Get a Stranger to Show You Their Favorite Emoji,7,social,true,false,media_required,easy
dare_ibiza_103,Get Someone to Take a Picture of You,5,creative,true,false,media_required,easy
dare_ibiza_104,Start a Group Huddle,12,social,true,false,media_required,medium
dare_ibiza_105,Convince a Stranger to Join You for a Dance Battle,15,physical,true,false,media_required,hard
dare_ibiza_106,Get a Stranger to Name a Celebrity They Admire,6,social,true,false,media_required,easy
dare_ibiza_107,Get Someone to Teach You a Card Trick,10,social,true,false,media_required,medium
dare_ibiza_108,Find Someone with the Same Star Sign as You,8,social,true,false,media_required,medium
dare_ibiza_109,Get a Stranger to Tell You Their Favorite Ice Cream Flavor,5,social,true,false,media_required,easy
dare_ibiza_110,Convince Someone to Share Their Travel Story,10,social,true,false,media_required,easy
dare_ibiza_111,Get Someone to Guess Your Age,7,social,true,false,media_required,easy
dare_ibiza_112,Get a Stranger to Show You a Family Photo,8,social,true,false,media_required,easy
dare_ibiza_113,Convince a Stranger to Sing a Duet with You,15,social,true,false,media_required,hard
dare_ibiza_114,Find Someone Who Has Visited More Than 3 Countries,10,social,true,false,media_required,medium
dare_ibiza_115,Get a Stranger to Teach You a Dance Move from Their Culture,12,physical,true,false,media_required,medium
dare_ibiza_116,Find Someone Who Has Been to Ibiza Before,8,social,true,false,media_required,easy
dare_ibiza_117,Get a Stranger to Give You a Compliment,5,social,true,false,media_required,easy
dare_ibiza_118,Get Someone to Say a Tongue Twister,7,social,true,false,media_required,medium
dare_ibiza_119,Get a Stranger to Teach You a Word in Their Native Language,8,social,true,false,media_required,easy
dare_ibiza_120,Get Someone to Share Their Favorite Memory from the Trip,10,social,true,false,media_required,easy
dare_ibiza_121,Ask a Stranger What Their Job Is Back Home,5,social,true,false,media_required,easy
dare_ibiza_122,Find Someone Who Shares Your Birthday Month,8,social,true,false,media_required,medium
dare_ibiza_123,Get a Stranger to Show You Their Phone Wallpaper,6,social,true,false,media_required,easy
dare_ibiza_124,Get a Stranger to Do the Robot Dance with You,10,social,true,false,media_required,medium
dare_ibiza_125,Find Someone from the Same Country as You,8,social,true,false,media_required,medium
dare_ibiza_126,Get a Stranger to Show You Their Best Celebrity Impression,10,social,true,false,media_required,medium
dare_ibiza_127,Find Someone Who Knows All the Words to the Current Song,8,social,true,false,media_required,medium
dare_ibiza_128,Get a Stranger to Give You Fashion Advice,7,social,true,false,media_required,easy
dare_ibiza_129,Find Someone Wearing the Same Color as You,7,social,true,false,media_required,easy
dare_ibiza_130,Get a Stranger to Describe Their Perfect Day,6,social,true,false,media_required,easy
dare_ibiza_131,Ask Someone What They Would Do with a Million Euros,6,social,true,false,media_required,easy
dare_ibiza_132,Find Someone Who Speaks More Than 3 Languages,10,social,true,false,media_required,medium
dare_ibiza_133,Get a Stranger to Sing a Childhood Song,10,social,true,false,media_required,medium
dare_ibiza_134,Ask Someone What Their Spirit Animal Is,5,social,true,false,media_required,easy
dare_ibiza_135,Find Someone with a Hidden Talent and Get Them to Show You,12,social,true,false,media_required,medium
dare_ibiza_136,Get a Stranger to Predict Your Future,8,social,true,false,media_required,easy
dare_ibiza_137,Get 5 People to Jump at the Same Time,12,social,true,false,media_required,medium
dare_ibiza_138,Start a Limbo Contest,12,physical,true,false,media_required,medium
dare_ibiza_139,Get Someone to Do a Trust Fall with You,10,physical,true,false,media_required,medium
dare_ibiza_140,Find Someone to Practice Ballroom Dancing with You,10,physical,true,false,media_required,medium
dare_ibiza_141,Start a Spontaneous Applause Circle,8,social,true,false,media_required,easy
dare_ibiza_142,Get a Stranger to Teach You a Secret Handshake,8,social,true,false,media_required,easy
dare_ibiza_143,Find Someone Celebrating a Birthday Tonight,10,social,true,false,media_required,medium
dare_ibiza_144,Get a Stranger to Reveal Their Worst Dance Move,8,social,true,false,media_required,medium
dare_ibiza_145,Convince a Stranger to Be Your Wingman for 2 Minutes,12,social,true,false,media_required,medium
dare_ibiza_146,Get Someone to Tell You About Their Most Embarrassing Moment,8,social,true,false,media_required,medium
dare_ibiza_147,Find Someone Who Has a Funny Story About Ibiza,8,social,true,false,media_required,easy
dare_ibiza_148,Get a Stranger to Teach You a Handclap Rhythm,7,social,true,false,media_required,easy
dare_ibiza_149,Find Someone Who Has Met a Celebrity,10,social,true,false,media_required,medium
dare_ibiza_150,Get a Stranger to Tell You Their Life Motto,6,social,true,false,media_required,easy
dare_ibiza_151,Get Someone to Teach You a Traditional Song from Their Country,10,social,true,false,media_required,medium
dare_ibiza_152,Find Someone Who Can Whistle a Song and Get Them to Do It,7,social,true,false,media_required,easy
dare_ibiza_153,Get a Stranger to Share Their Funniest Travel Memory,7,social,true,false,media_required,easy
dare_ibiza_154,Find Someone Whose Name Starts with the Same Letter as Yours,7,social,true,false,media_required,easy
dare_ibiza_155,Get a Stranger to Show You Their Favorite TikTok Dance,10,social,true,false,media_required,medium
dare_ibiza_156,Convince a Stranger to Tell You Their Biggest Fear,8,social,true,false,media_required,medium
dare_ibiza_157,Find Someone Who Has Been Skydiving,10,social,true,false,media_required,medium
dare_ibiza_158,Get a Stranger to Count Backwards from 10 in Any Language,6,social,true,false,media_required,easy
dare_ibiza_159,Find Someone Who Has Been Proposed To or Proposed,10,social,true,false,media_required,medium
dare_ibiza_160,Get a Stranger to Rate Your Outfit Out of 10,5,social,true,false,media_required,easy
dare_ibiza_161,Find Someone Who Can Name 5 Types of Cocktails,8,social,true,false,media_required,easy
dare_ibiza_162,Get a Stranger to Tell You What Song Describes Their Life,7,social,true,false,media_required,easy
dare_ibiza_163,Convince Someone to Exchange Hats for One Song,8,social,true,false,media_required,medium
dare_ibiza_164,Find a Stranger Who Has the Same Shoe Size as You,8,social,true,false,media_required,medium
dare_ibiza_165,Get Someone to Write Their Name on Your Arm,6,social,true,false,media_required,easy
dare_ibiza_166,Find Someone Who Knows How to Juggle,10,social,true,false,media_required,medium
dare_ibiza_167,Convince a Stranger to Be in Your Squad for 5 Minutes,10,social,true,false,media_required,medium
dare_ibiza_168,Find Someone Who Is Here Alone and Introduce Them to Your Group,12,social,true,false,media_required,medium
dare_ibiza_169,Get a Group of Strangers to Form a Huddle and Cheer,12,social,true,false,media_required,medium
dare_ibiza_170,Find Someone Who Has the Exact Same Drink as You,7,social,true,false,media_required,easy
dare_ibiza_171,Get a Stranger to Teach You a Hand Game,7,social,true,false,media_required,easy
dare_ibiza_172,Convince Someone to Tell You a Ghost Story,8,social,true,false,media_required,medium
dare_ibiza_173,Find Someone Whose Phone Battery Is Below 10%,7,social,true,false,media_required,easy
dare_ibiza_174,Get a Stranger to Act Out Their Favorite Movie Scene,10,social,true,false,media_required,medium
dare_ibiza_175,Find Someone Who Has Cried at a Concert,8,social,true,false,media_required,medium
dare_ibiza_176,Get a Stranger to Freestyle Rap for 5 Seconds,10,social,true,false,media_required,medium
dare_ibiza_177,Convince Someone to Give You a Nickname and Use It All Night,10,social,true,false,media_required,medium
dare_ibiza_178,Find Someone Who Has Lived in 3 or More Countries,10,social,true,false,media_required,medium
dare_ibiza_179,Do the Worm on the Dance Floor,15,physical,true,false,media_required,hard
dare_ibiza_180,Get a Stranger to Give You a Shoulder Ride,15,physical,true,false,media_required,hard
dare_ibiza_181,Start a Human Chain Across the Dance Floor,12,physical,true,false,media_required,medium
dare_ibiza_182,Get a Group to Do the YMCA Together,10,physical,true,false,media_required,medium
dare_ibiza_183,Do the Moonwalk Past a Group of Strangers,10,physical,true,false,media_required,medium
dare_ibiza_184,Get Someone to Race You to the Bar,8,physical,true,false,media_required,medium
dare_ibiza_185,Lead a Synchronized Jumping Group,12,physical,true,false,media_required,medium
dare_ibiza_186,Get a Stranger to Do a Cartwheel with You,15,physical,true,false,media_required,hard
dare_ibiza_187,Start a Hands-In Group Huddle Break,10,physical,true,false,media_required,medium
dare_ibiza_188,Get 3 Strangers to Do a Group Squat Together,10,physical,true,false,media_required,medium
dare_ibiza_189,Convince Someone to Breakdance with You,15,physical,true,false,media_required,hard
dare_ibiza_190,Get a Stranger to Teach You a Cheerleader Move,10,physical,true,false,media_required,medium
dare_ibiza_191,Get 10 Strangers to Point at You for a Group Photo,12,creative,true,false,media_required,medium
dare_ibiza_192,Convince a Stranger to Take a Professional Headshot of You,7,creative,true,false,media_required,easy
dare_ibiza_193,Get 5 People to Strike the Same Pose for a Panorama,12,creative,true,false,media_required,medium
dare_ibiza_194,Find Someone to Do a Jumping Photo with You,8,creative,true,false,media_required,easy
dare_ibiza_195,Recreate a Famous Album Cover with Strangers,15,creative,true,false,media_required,hard
dare_ibiza_196,Get a Stranger to Draw Your Portrait in 30 Seconds,10,creative,true,false,media_required,medium
dare_ibiza_197,Get the Whole Dance Floor to Do a Finger-Gun Pose,15,creative,true,false,media_required,hard
dare_ibiza_198,Create a Human Letter Shape with 3 Strangers,12,creative,true,false,media_required,medium
dare_ibiza_199,Get a Stranger to Take a Photo of You Mid-Air,8,creative,true,false,media_required,medium
dare_ibiza_200,Start an Impromptu Photoshoot with Willing Strangers,10,creative,true,false,media_required,medium
dare_ibiza_201,Get Someone to Film You Doing Something Impressive,10,creative,true,false,media_required,medium
dare_ibiza_202,Find Someone to Recreate a Famous Movie Scene with You,12,creative,true,false,media_required,medium
dare_ibiza_203,Get a Group of Strangers to Form a Heart Shape for a Photo,12,creative,true,false,media_required,medium
dare_ibiza_204,Convince Someone to Star in a 10-Second Video with You,8,creative,true,false,media_required,easy
dare_ibiza_205,Try a Cocktail You Have Never Heard Of,8,food,true,false,media_required,medium
dare_ibiza_206,Ask the Bartender to Make Their Personal Favorite Drink for You,10,food,true,false,media_required,medium
dare_ibiza_207,Order a Round of Mystery Shots for Your Group,12,food,true,false,media_required,medium
dare_ibiza_208,Ask the Bar for a Secret Menu Item,10,food,true,false,media_required,medium
dare_ibiza_209,Get Someone to Teach You a Drinking Game,10,food,true,false,media_required,medium
dare_ibiza_210,Get the Bartender to Give You a Free Drink,15,food,true,false,media_required,hard
dare_ibiza_211,Share a Shot with a Complete Stranger,12,food,true,false,media_required,medium
dare_ibiza_212,Try the Most Unusual Mixer on the Bar Menu,8,food,true,false,media_required,medium
dare_ibiza_213,Convince Someone to Order a Drink They Have Never Tried,8,food,true,false,media_required,medium
dare_ibiza_214,Ask the Bartender to Surprise You with Something,8,food,true,false,media_required,medium
dare_ibiza_215,Find Someone to Do a Non-Alcoholic Cheers with You,6,food,true,false,media_required,easy
dare_ibiza_216,Get Someone to Teach You the Correct Way to Drink a Shot,8,food,true,false,media_required,easy
dare_ibiza_217,Find the Most Instagrammable Spot in the Venue,7,outdoor,true,false,media_required,easy
dare_ibiza_218,Take a Photo with the Ibiza Skyline or Sea in the Background,8,outdoor,true,false,media_required,easy
dare_ibiza_219,Find a Palm Tree and Take a Photo,5,outdoor,true,false,media_required,easy
dare_ibiza_220,Take a Photo Reflecting in a Pool or Water Feature,7,outdoor,true,false,media_required,easy
dare_ibiza_221,Find a Rooftop or Elevated Spot and Take a Photo,10,outdoor,true,false,media_required,medium
dare_ibiza_222,Get a Stranger to Take Your Photo at a Famous Ibiza Landmark,8,outdoor,true,false,media_required,medium
dare_ibiza_223,Take a Photo Under the Stars,5,outdoor,true,false,media_required,easy
dare_ibiza_224,Find the Best Lit Spot in the Venue and Take a Photo,6,outdoor,true,false,media_required,easy
dare_ibiza_225,Capture a Photo of the Crowd from Above,8,outdoor,true,false,media_required,medium
dare_ibiza_226,Take a Silhouette Photo Against the Stage Lights,8,outdoor,true,false,media_required,medium
dare_ibiza_227,Get a Stranger to Teach You Their Country's Greeting,6,social,true,false,media_required,easy
dare_ibiza_228,Find Someone with the Same Eye Color as You,6,social,true,false,media_required,easy
dare_ibiza_229,Get a Stranger to Tell You Their Favorite Ibiza Club,5,social,true,false,media_required,easy
dare_ibiza_230,Convince a Stranger to Be Your Tour Guide for 2 Minutes,10,social,true,false,media_required,medium
dare_ibiza_231,Get a Stranger to Roast You Nicely,8,social,true,false,media_required,medium
dare_ibiza_232,Find Someone Who Has Done a Bungee Jump,10,social,true,false,media_required,medium
dare_ibiza_233,Get Someone to Teach You a Traditional Hand Gesture,6,social,true,false,media_required,easy
dare_ibiza_234,Find Someone Who Has Worked as a DJ or Musician,12,social,true,false,media_required,medium
dare_ibiza_235,Get a Stranger to Give You Life Advice in One Sentence,6,social,true,false,media_required,easy
dare_ibiza_236,Convince Someone to Swap Drinks with You for One Sip,8,food,true,false,media_required,medium
dare_ibiza_237,Find Someone Who Has Swum in More Than 3 Different Seas,10,social,true,false,media_required,medium
dare_ibiza_238,Get a Stranger to Rate Ibiza Out of 10 and Explain Why,6,social,true,false,media_required,easy
dare_ibiza_239,Find Someone Who Has Been to a Music Festival Before,7,social,true,false,media_required,easy
dare_ibiza_240,Get Someone to Teach You a Lullaby from Their Country,8,social,true,false,media_required,medium
dare_ibiza_241,Convince a Stranger to Trade Something Small as a Keepsake,10,social,true,false,media_required,medium
dare_ibiza_242,Find Someone Who Surfs or Wants To Learn,8,social,true,false,media_required,medium
dare_ibiza_243,Get a Stranger to Tell You Something Most People Don't Know About Them,8,social,true,false,media_required,medium
dare_ibiza_244,Convince a Stranger to Clap Along to a Song with You,7,social,true,false,media_required,easy
dare_ibiza_245,Get a Stranger to Do Your Signature Move,10,social,true,false,media_required,medium
dare_ibiza_246,Find Someone Who Has Never Been to Ibiza Before,6,social,true,false,media_required,easy
dare_ibiza_247,Get a Group to Shout the Name of Your Hometown,10,social,true,false,media_required,medium
dare_ibiza_248,Get a Stranger to Promise to Visit Your Country,8,social,true,false,media_required,medium
dare_ibiza_249,Find Someone Who Can Name a Song Just from Humming,8,social,true,false,media_required,medium
dare_ibiza_250,Get a Stranger to Do Your Best Dance Move Back at You,10,social,true,false,media_required,medium
dare_ibiza_251,Find Someone Who Has a Tattoo with a Hidden Meaning,8,social,true,false,media_required,medium
dare_ibiza_252,"Get a Stranger to Teach You How to Say ""Cheers"" in Their Language",5,social,true,false,media_required,easy
dare_ibiza_253,Get the Whole Group to Take a Simultaneous Selfie,10,creative,true,false,media_required,medium
dare_ibiza_254,Find Someone Who Has Performed on Stage Before,10,social,true,false,media_required,medium
dare_ibiza_255,Get a Stranger to Teach You an Unusual Party Game,10,social,true,false,media_required,medium
